date,forecast,lower_bound,upper_bound
1985-01-01T00:00:00,70.12202424034939,66.78727085386147,73.08952273279222
1985-02-01T00:00:00,64.29725875700662,61.016758580835806,67.4467960744516
1985-03-01T00:00:00,60.66151379377166,57.51804800758948,63.86709375770195
1985-04-01T00:00:00,54.873481876716745,51.90933897524459,57.99685570355625
1985-05-01T00:00:00,55.356498652187504,51.997056603489234,58.54656046946819
1985-06-01T00:00:00,61.12598560572806,57.81940902462631,64.5095476965536
1985-07-01T00:00:00,66.39800910042065,63.23956177856775,69.71104798757287
1985-08-01T00:00:00,66.50394208688202,63.345092546988305,69.73903008088541
1985-09-01T00:00:00,60.53281935165521,57.34649447262685,63.85918373271778
1985-10-01T00:00:00,56.23762278922103,52.974414534292144,59.52401281171113
1985-11-01T00:00:00,58.40075723923793,55.12914529450104,61.684007026136015
1985-12-01T00:00:00,67.70338280047896,64.60933863158043,70.96149012562618
1986-01-01T00:00:00,72.66926507699881,69.45476583853701,75.95081233345779
1986-02-01T00:00:00,67.10842705583357,63.9055280995481,70.07037734283212
1986-03-01T00:00:00,63.17151445689983,59.64266338820009,66.1286183679004
1986-04-01T00:00:00,56.680696294991485,53.50988146906976,59.69775908944977
1986-05-01T00:00:00,57.057613488323256,53.839834109259456,60.335112490215394
1986-06-01T00:00:00,63.09663640351588,60.160624740203936,66.15380359886285
1986-07-01T00:00:00,68.83068392109054,65.55736065961618,72.14956378520637
1986-08-01T00:00:00,69.26498994931892,65.93759109934987,72.40438391827104
1986-09-01T00:00:00,62.8582166425407,59.62309527059229,66.00471969791805
1986-10-01T00:00:00,58.26769704532625,54.562787410073256,61.66254927446062
1986-11-01T00:00:00,60.416447123674075,57.30277336500242,63.53192028209137
1986-12-01T00:00:00,69.459821630805,66.38344986547797,72.83737070146955
1987-01-01T00:00:00,75.23568225207684,72.10524298082889,78.33550819195354
1987-02-01T00:00:00,69.96532937034449,66.73877714510311,73.11548056069975
1987-03-01T00:00:00,65.69478086529193,62.550153770147325,68.7811454938393
1987-04-01T00:00:00,58.46761168918544,55.139908601072975,61.97405782796999
1987-05-01T00:00:00,58.74102238327501,55.718666199386526,62.003332232612685
1987-06-01T00:00:00,65.06153496918047,61.8747814940433,68.41241423833932
1987-07-01T00:00:00,71.27895290236681,68.08386665614367,74.76041272958432
1987-08-01T00:00:00,72.0556408709162,68.93851308294245,75.21961062229764
1987-09-01T00:00:00,65.19061400336278,61.86984399303476,68.32683064481547
1987-10-01T00:00:00,60.29447370772289,56.95602795325763,63.604632422678606
1987-11-01T00:00:00,62.42032214434613,59.21967009098321,65.60950014322526
1987-12-01T00:00:00,71.1761783764337,67.89802027002082,74.55398829591346
1988-01-01T00:00:00,77.81846049833415,74.49024585501112,80.87762594482415
1988-02-01T00:00:00,72.86323304414204,69.96479984307182,76.10722657251222
1988-03-01T00:00:00,66.9737781270838,63.64044244867641,70.21970096537713
1988-04-01T00:00:00,61.05464472483111,57.79881259594573,64.26852356697363
1988-05-01T00:00:00,61.71031235565917,58.66047902150466,64.8511013001336
1988-06-01T00:00:00,68.02412092848445,64.94121194831924,71.28290408782125
1988-07-01T00:00:00,73.5525369807108,70.14354314379356,76.82400505728108
1988-08-01T00:00:00,73.28546668787759,70.25828776319078,76.53827062768147
1988-09-01T00:00:00,66.87283784052491,63.44235445730027,70.09567240113321
1988-10-01T00:00:00,62.2427247718239,58.94928211901981,65.51504459188594
1988-11-01T00:00:00,64.70845067001828,61.33686803589607,67.75076678929454
1988-12-01T00:00:00,75.62158047302852,72.4058515175643,78.77396722258219
1989-01-01T00:00:00,80.42345117492785,77.28353419265186,83.71266121977884
1989-02-01T00:00:00,73.71409831239706,70.33687827215846,76.81166482614013
1989-03-01T00:00:00,69.5213981595181,66.28509144094527,72.57219695212356
1989-04-01T00:00:00,62.863633722559655,59.72350769877081,65.93050798506216
1989-05-01T00:00:00,63.37895785568904,60.26022233334879,66.72992687181748
1989-06-01T00:00:00,69.94145333002767,66.60271932080533,73.18984642969312
1989-07-01T00:00:00,75.92873592775912,72.68782266853574,79.19666352362252
1989-08-01T00:00:00,76.00351618580316,72.80251845373235,79.24246033060578
1989-09-01T00:00:00,69.13752516663807,66.08797226648264,72.44375490539962
1989-10-01T00:00:00,64.19428684742478,61.10343725697131,67.17126182929184
1989-11-01T00:00:00,66.62348576160134,63.39195712933662,69.88116321665377
1989-12-01T00:00:00,77.19131547571932,73.90617227379433,80.21833070594836
1990-01-01T00:00:00,82.80395143544784,79.80417889444888,86.050791192657
1990-02-01T00:00:00,76.4224515888961,73.18334148155336,79.69492837282323
1990-03-01T00:00:00,71.90057108373374,68.5532343554735,75.0226449714791
1990-04-01T00:00:00,64.47476136844281,61.25553090723601,67.81524003269958
1990-05-01T00:00:00,64.84708966207592,61.447875778360654,68.11252813627034
1990-06-01T00:00:00,71.64646393198828,68.29018990121045,74.85866324630156
1990-07-01T00:00:00,78.090227606407,74.93399433818148,81.20361711043672
1990-08-01T00:00:00,78.51341566662431,75.23099801142843,81.83649086998291
1990-09-01T00:00:00,71.18845475639,68.03922859785668,74.53237133632808
1990-10-01T00:00:00,65.93362251093379,62.86295080133846,69.1376927473062
1990-11-01T00:00:00,68.30546024397428,65.04786070549363,71.4783582196792
1990-12-01T00:00:00,78.46375173425842,75.06614679781734,81.68582052702591
1991-01-01T00:00:00,84.9149408764457,81.44858047256322,88.04691303222897
1991-02-01T00:00:00,78.89869590967358,75.53365458278486,82.00770272494444
1991-03-01T00:00:00,74.02564692490547,70.83157160818544,77.20042861966014
